013304 030351|000035 013304  CMP R0,#1
013310 030340|               BEQ 13360
013312 030340|               BGT 13322
013322 030340|000035 013322  CMP R0,#10
013326 030340|               BEQ 13410
013330 030340|000035 013330  CMP R0,#35
013334 030344|               BNE 13550
013336 030344|               BR 13344
013344 030344|000040 157752  MOVB R1,-(SP)
013346 030340|013346 013346  JSR PC,5574
005574 030340|157760 157746  MOV R5,-(SP)
005576 030350|157744 157760  MOV SP,R5
005600 030350|020677 157744  MOV R2,-(SP)
005602 030340|000000 157742  MOV R3,-(SP)
005604 030344|000000 157740  MOV R4,-(SP)
005606 030344|157744 157736  MOV R5,-(SP)
005610 030350|157744 000035  MOV 4(R5),R0
005614 030350|005614 005614  JSR PC,5644
005644 030350|020677 157732  MOV R2,-(SP)
005646 030340|005646 000040  MOV #11610,R1
005652 030340|005652 020677  MOV 177564,R2
005656 030340|000200 005656  BIT R2,#200
005662 030340|               BNE 5676
005676 030340|157440 005676  MOVB R0,177566
005702 030340|005702 011610  MOV #11610,R1
005706 030340|005706 000200  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011610 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011607 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011606 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011605 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011604 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011603 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011602 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011601 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011600 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011577 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011576 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011575 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011574 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011573 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011572 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011571 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011570 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011567 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011566 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011565 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011564 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011563 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
